Graph Size,Edge Probability,Trial,Execution Time (s),Max Flow
10,0.2,1,0.000063,20.00
10,0.2,2,0.000048,4.00
10,0.2,3,0.000067,12.00
10,0.2,Average,0.000059,12.00

10,0.4,1,0.000140,29.00
10,0.4,2,0.000132,32.00
10,0.4,3,0.000093,9.00
10,0.4,Average,0.000122,23.33

10,0.6,1,0.000977,43.00
10,0.6,2,0.000208,38.00
10,0.6,3,0.000151,46.00
10,0.6,Average,0.000445,42.33

20,0.2,1,0.000176,37.00
20,0.2,2,0.000187,34.00
20,0.2,3,0.000317,40.00
20,0.2,Average,0.000227,37.00

20,0.4,1,0.000312,60.00
20,0.4,2,0.000409,84.00
20,0.4,3,0.000351,28.00
20,0.4,Average,0.000357,57.33

20,0.6,1,0.000792,130.00
20,0.6,2,0.000684,129.00
20,0.6,3,0.000631,128.00
20,0.6,Average,0.000702,129.00

50,0.2,1,0.001951,111.00
50,0.2,2,0.001487,67.00
50,0.2,3,0.001717,79.00
50,0.2,Average,0.001718,85.67

50,0.4,1,0.003835,255.00
50,0.4,2,0.003913,243.00
50,0.4,3,0.003518,178.00
50,0.4,Average,0.003755,225.33

50,0.6,1,0.006038,347.00
50,0.6,2,0.004840,285.00
50,0.6,3,0.006352,323.00
50,0.6,Average,0.005743,318.33

100,0.2,1,0.026184,184.00
100,0.2,2,0.007097,167.00
100,0.2,3,0.005991,129.00
100,0.2,Average,0.013091,160.00

100,0.4,1,0.019821,413.00
100,0.4,2,0.018106,382.00
100,0.4,3,0.018005,377.00
100,0.4,Average,0.018644,390.67

100,0.6,1,0.026891,586.00
100,0.6,2,0.030435,635.00
100,0.6,3,0.029279,557.00
100,0.6,Average,0.028868,592.67

200,0.2,1,0.039307,389.00
200,0.2,2,0.043681,443.00
200,0.2,3,0.042974,386.00
200,0.2,Average,0.041987,406.00

200,0.4,1,0.100972,798.00
200,0.4,2,0.098466,727.00
200,0.4,3,0.108115,794.00
200,0.4,Average,0.102518,773.00

200,0.6,1,0.188663,1159.00
200,0.6,2,0.190616,1187.00
200,0.6,3,0.176367,1196.00
200,0.6,Average,0.185215,1180.67

Summary - Average Values
Graph Size,Edge Probability,,Avg Execution Time (s),Avg Max Flow
10,0.2,,0.000059,12.00
10,0.4,,0.000122,23.33
10,0.6,,0.000445,42.33
20,0.2,,0.000227,37.00
20,0.4,,0.000357,57.33
20,0.6,,0.000702,129.00
50,0.2,,0.001718,85.67
50,0.4,,0.003755,225.33
50,0.6,,0.005743,318.33
100,0.2,,0.013091,160.00
100,0.4,,0.018644,390.67
100,0.6,,0.028868,592.67
200,0.2,,0.041987,406.00
200,0.4,,0.102518,773.00
200,0.6,,0.185215,1180.67
